newsgroup,document_id
talk.religion.misc,82757
talk.religion.misc,82758
talk.religion.misc,82759
talk.religion.misc,82760
talk.religion.misc,82763
talk.religion.misc,82766
talk.religion.misc,82767
talk.religion.misc,82771
talk.religion.misc,82772
talk.religion.misc,82774
talk.religion.misc,82775
talk.religion.misc,82776
talk.religion.misc,82777
talk.religion.misc,82778
talk.religion.misc,82779
talk.religion.misc,82781
talk.religion.misc,82782
talk.religion.misc,82783
talk.religion.misc,82784
talk.religion.misc,82785
talk.religion.misc,82786
talk.religion.misc,82787
talk.religion.misc,82788
talk.religion.misc,82792
talk.religion.misc,82793
talk.religion.misc,82794
talk.religion.misc,82795
talk.religion.misc,82796
talk.religion.misc,82797
talk.religion.misc,82798
talk.religion.misc,82799
talk.religion.misc,82800
talk.religion.misc,82801
talk.religion.misc,82802
talk.religion.misc,82804
talk.religion.misc,82806
talk.religion.misc,82807
talk.religion.misc,82808
talk.religion.misc,82810
talk.religion.misc,82812
talk.religion.misc,82813
talk.religion.misc,82814
talk.religion.misc,82815
talk.religion.misc,82816
talk.religion.misc,82818
talk.religion.misc,82819
talk.religion.misc,83437
talk.religion.misc,83438
talk.religion.misc,83439
talk.religion.misc,83440
talk.religion.misc,83441
talk.religion.misc,83442
talk.religion.misc,83444
talk.religion.misc,83445
talk.religion.misc,83447
talk.religion.misc,83449
talk.religion.misc,83450
talk.religion.misc,83451
talk.religion.misc,83453
talk.religion.misc,83454
talk.religion.misc,83455
talk.religion.misc,83456
talk.religion.misc,83457
talk.religion.misc,83460
talk.religion.misc,83461
talk.religion.misc,83463
talk.religion.misc,83467
talk.religion.misc,83468
talk.religion.misc,83469
talk.religion.misc,83470
talk.religion.misc,83471
talk.religion.misc,83472
talk.religion.misc,83473
talk.religion.misc,83476
talk.religion.misc,83477
talk.religion.misc,83478
talk.religion.misc,83479
talk.religion.misc,83481
talk.religion.misc,83482
talk.religion.misc,83483
talk.religion.misc,83484
talk.religion.misc,83485
talk.religion.misc,83486
talk.religion.misc,83487
talk.religion.misc,83488
talk.religion.misc,83490
talk.religion.misc,83491
talk.religion.misc,83492
talk.religion.misc,83494
talk.religion.misc,83495
talk.religion.misc,83496
talk.religion.misc,83497
talk.religion.misc,83498
talk.religion.misc,83499
talk.religion.misc,83500
talk.religion.misc,83501
talk.religion.misc,83503
talk.religion.misc,83504
talk.religion.misc,83505
talk.religion.misc,83506
talk.religion.misc,83507
talk.religion.misc,83508
talk.religion.misc,83509
talk.religion.misc,83510
talk.religion.misc,83511
talk.religion.misc,83512
talk.religion.misc,83513
talk.religion.misc,83514
talk.religion.misc,83515
talk.religion.misc,83516
talk.religion.misc,83517
talk.religion.misc,83518
